alert_id,instance_id,fired_ts,severity,metric,threshold,observed_value,status
ALT-001-A,DB003,2026-08-03T10:15:00,SEV-1,p95_latency_ms,250,1250,resolved
ALT-001-B,DB003,2026-08-03T10:30:00,SEV-1,error_rate,0.05,0.12,resolved
ALT-002-A,DB007,2026-08-05T14:15:00,SEV-2,p95_latency_ms,250,1250,resolved
ALT-002-B,DB007,2026-08-05T14:30:00,SEV-2,error_rate,0.05,0.12,resolved
ALT-003-A,DB009,2026-08-06T02:15:00,SEV-2,p95_latency_ms,250,1250,resolved
ALT-003-B,DB009,2026-08-06T02:30:00,SEV-2,error_rate,0.05,0.12,resolved
ALT-007,DB012,2026-08-04T11:12:00,SEV-3,disk_usage,90,94,resolved
ALT-008,DB011,2026-08-05T15:47:00,SEV-3,disk_usage,90,88,resolved
ALT-009,DB002,2026-08-02T21:53:00,SEV-3,disk_usage,80,81,suppressed
ALT-010,DB005,2026-08-03T07:50:00,SEV-4,replication_lag,90,88,suppressed
ALT-011,DB002,2026-08-07T08:24:00,SEV-4,disk_usage,85,88,suppressed
ALT-012,DB001,2026-08-01T04:49:00,SEV-4,replication_lag,90,88,suppressed
ALT-013,DB007,2026-08-07T12:50:00,SEV-4,replication_lag,85,88,resolved
ALT-014,DB004,2026-08-05T02:53:00,SEV-4,replication_lag,85,81,resolved
ALT-015,DB010,2026-08-04T07:50:00,SEV-3,disk_usage,90,94,suppressed
ALT-016,DB012,2026-08-01T13:56:00,SEV-4,replication_lag,90,88,suppressed
ALT-017,DB008,2026-08-05T08:45:00,SEV-4,disk_usage,85,81,suppressed
ALT-018,DB001,2026-08-07T05:20:00,SEV-3,replication_lag,80,81,resolved
ALT-019,DB004,2026-08-07T17:54:00,SEV-4,disk_usage,80,81,resolved
ALT-020,DB011,2026-08-07T10:19:00,SEV-4,memory_pct,90,81,resolved
ALT-021,DB012,2026-08-07T10:30:00,SEV-3,replication_lag,85,88,resolved
ALT-022,DB004,2026-08-07T06:03:00,SEV-4,cpu_pct,85,88,resolved
ALT-023,DB003,2026-08-07T13:42:00,SEV-3,cpu_pct,80,94,resolved
ALT-024,DB009,2026-08-07T21:10:00,SEV-3,disk_usage,80,88,resolved
