instance_id,observed_ts,cpu_pct,memory_pct,qps,p95_latency_ms,active_connections,lock_waits,error_rate
DB001,2026-08-01T00:00:00,13.60,46.89,498.54,24.02,59,2,0.00212
DB001,2026-08-01T00:15:00,14.06,62.80,541.12,32.97,72,3,0.00927
DB001,2026-08-01T00:30:00,16.53,48.37,470.72,15.20,89,1,0.00847
DB001,2026-08-01T00:45:00,9.92,59.42,533.88,24.46,41,1,0.00783
DB001,2026-08-01T01:00:00,6.67,61.09,448.99,28.94,53,3,0.00951
DB001,2026-08-01T01:15:00,11.08,45.59,456.02,17.64,72,1,0.00189
DB001,2026-08-01T01:30:00,14.17,64.60,450.42,16.92,70,2,0.01309
DB001,2026-08-01T01:45:00,18.00,53.04,538.74,33.11,87,0,0.01168
DB001,2026-08-01T02:00:00,13.36,63.68,535.70,21.02,54,0,0.00551
DB001,2026-08-01T02:15:00,6.42,58.87,455.95,18.68,36,1,0.00205
DB001,2026-08-01T02:30:00,10.47,46.86,554.27,25.82,25,2,0.00165
DB001,2026-08-01T02:45:00,12.17,49.28,573.46,28.23,45,3,0.00798
DB001,2026-08-01T03:00:00,15.18,61.30,491.42,28.50,86,1,0.00139
DB001,2026-08-01T03:15:00,7.98,58.37,599.61,22.25,43,3,0.00719
DB001,2026-08-01T03:30:00,9.55,51.05,491.92,33.27,86,1,0.01303
DB001,2026-08-01T03:45:00,12.84,48.49,509.46,31.07,37,1,0.01120
DB001,2026-08-01T04:00:00,9.05,55.14,491.97,7.87,84,2,0.00333
DB001,2026-08-01T04:15:00,5.47,51.08,485.16,27.57,82,1,0.01387
DB001,2026-08-01T04:30:00,17.10,54.83,560.92,13.25,64,3,0.00704
DB001,2026-08-01T04:45:00,5.92,58.64,433.85,20.93,88,2,0.00221
DB001,2026-08-01T05:00:00,11.94,64.79,597.64,10.99,41,3,0.01028
DB001,2026-08-01T05:15:00,9.58,64.76,488.18,16.09,73,0,0.01718
DB001,2026-08-01T05:30:00,12.86,55.29,500.68,27.83,34,2,0.00396
DB001,2026-08-01T05:45:00,16.39,53.11,488.84,24.78,21,0,0.00240
DB001,2026-08-01T06:00:00,10.08,45.86,512.25,13.20,69,0,0.00755
DB001,2026-08-01T06:15:00,13.03,50.98,545.25,28.44,85,1,0.01341
DB001,2026-08-01T06:30:00,16.62,66.63,501.88,16.83,62,2,0.00602
DB001,2026-08-01T06:45:00,10.52,51.44,465.73,7.98,37,3,0.00539
DB001,2026-08-01T07:00:00,14.89,44.24,474.86,11.20,28,0,0.00940
DB001,2026-08-01T07:15:00,18.07,48.68,534.41,31.02,40,0,0.01453
DB001,2026-08-01T07:30:00,8.34,58.94,582.85,13.65,19,0,0.01209
DB001,2026-08-01T07:45:00,12.47,64.57,578.76,27.36,69,0,0.00527
DB001,2026-08-01T08:00:00,27.73,46.71,1171.78,28.87,89,2,0.00268
DB001,2026-08-01T08:15:00,20.21,48.47,1136.89,12.23,35,1,0.00134
DB001,2026-08-01T08:30:00,19.14,57.77,935.28,13.26,28,2,0.01650
DB001,2026-08-01T08:45:00,24.69,56.06,1061.21,40.01,19,0,0.00600
DB001,2026-08-01T09:00:00,24.96,66.93,1059.62,43.34,54,2,0.01187
