order_item_id,order_id,product_id,quantity,unit_price,discount_pct,line_amount
OI00000001,O0000001,P0025,1,266.10,0,266.10
OI00000002,O0000001,P0033,1,1167.43,0,1167.43
OI00000003,O0000001,P0008,1,1054.76,0,1054.76
OI00000004,O0000002,P0012,1,148.19,0,148.19
OI00000005,O0000002,P0002,1,313.06,0,313.06
OI00000006,O0000002,P0009,2,1133.54,15,1927.02
OI00000007,O0000002,P0033,1,1167.43,10,1050.69
OI00000008,O0000003,P0048,1,99.71,0,99.71
OI00000009,O0000004,P0055,1,931.83,0,931.83
OI00000010,O0000004,P0051,1,451.37,0,451.37
OI00000011,O0000005,P0059,1,1368.20,10,1231.38
OI00000012,O0000005,P0024,1,133.54,0,133.54
OI00000013,O0000005,P0008,1,1054.76,0,1054.76
OI00000014,O0000006,P0044,1,987.16,15,839.09
OI00000015,O0000006,P0035,1,1339.16,0,1339.16
OI00000016,O0000006,P0016,1,579.49,0,579.49
OI00000017,O0000006,P0043,2,928.06,15,1577.70
OI00000018,O0000007,P0058,1,1293.33,5,1228.66
OI00000019,O0000007,P0056,1,1060.69,5,1007.66
OI00000020,O0000008,P0025,2,266.10,0,532.20
OI00000021,O0000008,P0048,1,99.71,10,89.74
OI00000022,O0000008,P0017,1,682.56,0,682.56
OI00000023,O0000009,P0029,1,703.99,0,703.99
OI00000024,O0000009,P0022,1,1282.59,0,1282.59
OI00000025,O0000009,P0036,1,101.46,0,101.46
OI00000026,O0000009,P0048,1,99.71,0,99.71
OI00000027,O0000010,P0040,2,595.34,0,1190.68
OI00000028,O0000010,P0031,1,874.24,10,786.82
OI00000029,O0000011,P0001,1,236.92,15,201.38
OI00000030,O0000011,P0051,1,451.37,0,451.37
OI00000031,O0000011,P0058,1,1293.33,0,1293.33
OI00000032,O0000011,P0016,3,579.49,10,1564.62
OI00000033,O0000012,P0059,1,1368.20,0,1368.20
OI00000034,O0000012,P0048,2,99.71,10,179.48
OI00000035,O0000013,P0043,1,928.06,5,881.66
OI00000036,O0000013,P0018,1,839.52,15,713.59
OI00000037,O0000013,P0055,1,931.83,0,931.83
OI00000038,O0000013,P0046,1,1240.65,0,1240.65
OI00000039,O0000014,P0041,1,672.66,0,672.66
OI00000040,O0000014,P0057,1,1179.24,5,1120.28
OI00000041,O0000015,P0028,1,598.14,0,598.14
OI00000042,O0000015,P0004,1,606.51,0,606.51
OI00000043,O0000016,P0047,1,1350.45,10,1215.40
OI00000044,O0000016,P0050,1,377.06,0,377.06
OI00000045,O0000016,P0037,1,265.67,0,265.67
OI00000046,O0000016,P0031,1,874.24,5,830.53
OI00000047,O0000017,P0051,1,451.37,0,451.37
OI00000048,O0000017,P0005,1,694.42,15,590.26
OI00000049,O0000018,P0039,1,474.61,5,450.88
OI00000050,O0000018,P0018,1,839.52,0,839.52
OI00000051,O0000018,P0023,2,1336.83,0,2673.66
OI00000052,O0000018,P0033,2,1167.43,0,2334.86
OI00000053,O0000019,P0051,1,451.37,0,451.37
OI00000054,O0000019,P0040,2,595.34,10,1071.61
OI00000055,O0000020,P0057,2,1179.24,5,2240.56
OI00000056,O0000020,P0048,2,99.71,0,199.42
OI00000057,O0000021,P0051,2,451.37,5,857.60
OI00000058,O0000021,P0021,1,1159.91,5,1101.91
OI00000059,O0000021,P0007,1,902.47,15,767.10
OI00000060,O0000021,P0023,1,1336.83,10,1203.15
OI00000061,O0000022,P0016,1,579.49,10,521.54
OI00000062,O0000023,P0007,1,902.47,0,902.47
OI00000063,O0000023,P0043,1,928.06,15,788.85
OI00000064,O0000023,P0005,2,694.42,10,1249.96
OI00000065,O0000024,P0027,2,488.48,0,976.96
OI00000066,O0000024,P0051,1,451.37,0,451.37
OI00000067,O0000024,P0020,1,1044.61,0,1044.61
OI00000068,O0000025,P0031,1,874.24,5,830.53
OI00000069,O0000026,P0002,1,313.06,10,281.75
OI00000070,O0000026,P0048,1,99.71,5,94.72
OI00000071,O0000026,P0026,1,366.66,5,348.33
OI00000072,O0000026,P0021,1,1159.91,0,1159.91
OI00000073,O0000027,P0035,3,1339.16,5,3816.61
OI00000074,O0000027,P0007,2,902.47,0,1804.94
OI00000075,O0000028,P0032,1,1037.48,0,1037.48
OI00000076,O0000029,P0045,1,1130.26,0,1130.26
OI00000077,O0000029,P0024,1,133.54,0,133.54
OI00000078,O0000029,P0056,1,1060.69,5,1007.66
