order_id,customer_id,order_ts,channel,status,region,payment_method,total_amount
O0000001,C00158,2026-02-21T14:58:00,store,completed,华北,wallet,2488.29
O0000002,C00145,2026-07-19T14:20:00,partner,shipped,东北,card,3438.95
O0000003,C00107,2025-11-21T21:30:00,partner,completed,华北,bank_transfer,99.71
O0000004,C00289,2026-05-02T13:45:00,partner,completed,华北,bank_transfer,1383.20
O0000005,C00242,2026-07-09T21:02:00,mobile,cancelled,东北,bank_transfer,0.00
O0000006,C00145,2026-01-10T15:59:00,store,completed,东北,wallet,4335.44
O0000007,C00125,2026-02-10T07:50:00,mobile,completed,华北,wallet,2236.32
O0000008,C00003,2025-10-20T10:08:00,mobile,completed,东北,bank_transfer,1304.50
O0000009,C00146,2025-11-20T03:24:00,mobile,completed,华北,bank_transfer,2187.75
O0000010,C00177,2026-05-08T23:01:00,store,completed,华南,wallet,1977.50
O0000011,C00156,2025-09-29T23:14:00,web,completed,华东,card,3510.70
O0000012,C00072,2026-06-13T01:53:00,partner,completed,华东,card,1547.68
O0000013,C00174,2026-07-22T08:55:00,partner,completed,华北,card,3767.73
O0000014,C00144,2025-12-26T11:44:00,store,completed,西南,bank_transfer,1792.94
O0000015,C00078,2026-05-18T16:22:00,store,completed,东北,bank_transfer,1204.65
O0000016,C00247,2025-10-21T05:23:00,store,completed,华北,bank_transfer,2688.66
O0000017,C00158,2026-05-12T01:56:00,partner,completed,华北,card,1041.63
O0000018,C00027,2026-01-19T08:35:00,partner,completed,华南,wallet,6298.92
O0000019,C00245,2025-12-30T21:27:00,store,cancelled,东北,bank_transfer,0.00
O0000020,C00099,2025-12-21T20:51:00,partner,cancelled,西南,bank_transfer,0.00
O0000021,C00184,2026-05-30T13:52:00,web,completed,西南,card,3929.76
O0000022,C00241,2026-05-17T04:58:00,mobile,completed,东北,bank_transfer,521.54
O0000023,C00159,2026-02-20T02:04:00,web,shipped,西南,wallet,2941.28
O0000024,C00071,2026-05-20T13:19:00,partner,shipped,东北,wallet,2472.94
O0000025,C00183,2026-07-21T11:52:00,store,completed,华南,wallet,830.53
O0000026,C00155,2026-04-17T01:00:00,mobile,completed,华东,bank_transfer,1884.72
O0000027,C00149,2026-02-24T15:58:00,mobile,completed,华北,card,5621.55
O0000028,C00070,2026-05-14T01:16:00,partner,completed,西南,card,1037.48
O0000029,C00288,2025-12-23T09:57:00,store,completed,华北,wallet,2271.46
O0000030,C00001,2026-03-26T00:41:00,store,completed,东北,card,3715.00
O0000031,C00083,2026-05-25T12:18:00,mobile,processing,华南,bank_transfer,659.70
O0000032,C00284,2025-12-25T22:02:00,web,completed,华南,card,1622.88
O0000033,C00006,2025-11-22T00:31:00,mobile,completed,华南,card,1167.43
O0000034,C00251,2026-06-21T19:27:00,web,completed,华东,card,902.47
O0000035,C00213,2026-04-20T15:45:00,mobile,completed,华南,wallet,3191.45
O0000036,C00189,2026-02-15T18:43:00,web,completed,西南,card,1539.65
O0000037,C00193,2025-09-13T19:24:00,partner,completed,东北,wallet,3531.03
O0000038,C00253,2025-09-27T05:03:00,store,shipped,华南,wallet,2012.04
O0000039,C00070,2026-01-25T15:59:00,partner,processing,西南,wallet,239.49
O0000040,C00083,2026-06-18T10:29:00,store,completed,华南,bank_transfer,2668.85
O0000041,C00101,2026-01-24T15:15:00,web,completed,华东,card,2277.55
O0000042,C00220,2026-01-07T15:52:00,partner,completed,华南,wallet,1686.09
O0000043,C00158,2025-12-15T07:38:00,mobile,cancelled,华北,bank_transfer,0.00
O0000044,C00178,2026-02-18T09:30:00,mobile,completed,华北,bank_transfer,2736.56
O0000045,C00132,2026-01-01T13:31:00,mobile,cancelled,东北,card,0.00
O0000046,C00188,2026-05-08T11:35:00,web,completed,华东,card,1054.76
O0000047,C00223,2026-03-31T04:18:00,partner,completed,东北,bank_transfer,3377.54
O0000048,C00248,2026-06-29T09:19:00,store,processing,华北,bank_transfer,6970.25
O0000049,C00295,2026-04-26T20:23:00,partner,completed,华南,bank_transfer,1085.57
O0000050,C00109,2026-03-15T06:03:00,store,completed,华东,card,1656.72
O0000051,C00031,2025-11-20T14:55:00,web,completed,西南,wallet,3465.85
O0000052,C00196,2025-08-22T10:04:00,mobile,cancelled,华北,wallet,0.00
O0000053,C00283,2026-01-16T08:31:00,partner,completed,华东,bank_transfer,628.44
O0000054,C00179,2025-09-26T05:22:00,mobile,completed,西南,wallet,1196.67
O0000055,C00068,2026-03-11T10:56:00,mobile,completed,西南,card,2266.56
O0000056,C00062,2025-08-22T23:05:00,web,completed,华北,wallet,2590.13
O0000057,C00025,2025-08-02T07:48:00,partner,completed,华南,card,2167.74
O0000058,C00111,2026-02-28T14:17:00,mobile,completed,东北,bank_transfer,92.35
O0000059,C00234,2025-12-23T22:56:00,web,completed,华南,bank_transfer,2926.16
O0000060,C00231,2025-11-17T04:44:00,web,completed,华北,card,1044.61
O0000061,C00015,2025-10-15T09:26:00,partner,completed,西南,card,2964.62
O0000062,C00255,2026-05-30T20:56:00,partner,completed,华北,card,565.57
O0000063,C00029,2026-03-09T10:43:00,web,completed,西南,wallet,2673.58
O0000064,C00064,2026-07-17T02:48:00,partner,processing,西南,bank_transfer,3564.20
O0000065,C00298,2026-03-27T13:51:00,web,completed,华东,card,253.73
O0000066,C00017,2026-07-02T21:25:00,partner,completed,东北,wallet,3175.51
O0000067,C00168,2025-11-17T21:17:00,store,completed,东北,card,2925.33
O0000068,C00287,2026-01-28T16:04:00,partner,completed,华北,card,2569.04
O0000069,C00060,2026-04-01T15:45:00,store,completed,西南,bank_transfer,244.22
O0000070,C00269,2026-03-12T05:12:00,web,completed,东北,bank_transfer,2138.22
O0000071,C00193,2026-06-10T11:58:00,web,completed,东北,wallet,1293.33
O0000072,C00102,2026-01-24T19:54:00,partner,completed,华北,bank_transfer,2138.60
O0000073,C00033,2025-12-09T01:24:00,mobile,processing,华南,card,3699.50
O0000074,C00202,2026-05-17T19:35:00,store,completed,东北,card,928.06
O0000075,C00063,2025-09-23T04:58:00,mobile,completed,华北,wallet,3424.60
O0000076,C00253,2025-10-01T07:09:00,mobile,cancelled,华南,wallet,0.00
O0000077,C00027,2026-07-13T06:29:00,partner,processing,华南,bank_transfer,1968.71
O0000078,C00085,2026-04-15T16:40:00,store,completed,东北,bank_transfer,1081.12
O0000079,C00118,2025-11-01T03:26:00,store,processing,华南,wallet,1705.54
O0000080,C00150,2025-11-08T22:26:00,mobile,completed,西南,bank_transfer,2779.03
O0000081,C00228,2026-02-25T00:38:00,web,shipped,华东,wallet,2955.95
O0000082,C00031,2025-12-22T18:06:00,web,completed,西南,card,266.10
