product_id,product_name,category,unit_price,warranty_days,active
P0001,智能家居-演示产品-01,智能家居,236.92,365,true
P0002,办公设备-演示产品-02,办公设备,313.06,730,true
P0003,网络设备-演示产品-03,网络设备,496.81,730,true
P0004,存储设备-演示产品-04,存储设备,606.51,365,true
P0005,软件订阅-演示产品-05,软件订阅,694.42,365,true
P0006,智能家居-演示产品-06,智能家居,762.29,180,true
P0007,办公设备-演示产品-07,办公设备,902.47,180,true
P0008,网络设备-演示产品-08,网络设备,1054.76,365,true
P0009,存储设备-演示产品-09,存储设备,1133.54,730,true
P0010,软件订阅-演示产品-10,软件订阅,1286.45,180,true
P0011,智能家居-演示产品-11,智能家居,1360.30,730,true
P0012,办公设备-演示产品-12,办公设备,148.19,730,true
P0013,网络设备-演示产品-13,网络设备,257.07,365,true
P0014,存储设备-演示产品-14,存储设备,348.45,180,true
P0015,软件订阅-演示产品-15,软件订阅,427.79,365,true
P0016,智能家居-演示产品-16,智能家居,579.49,730,true
P0017,办公设备-演示产品-17,办公设备,682.56,1095,true
P0018,网络设备-演示产品-18,网络设备,839.52,365,true
P0019,存储设备-演示产品-19,存储设备,893.32,180,false
P0020,软件订阅-演示产品-20,软件订阅,1044.61,365,true
P0021,智能家居-演示产品-21,智能家居,1159.91,180,true
P0022,办公设备-演示产品-22,办公设备,1282.59,365,true
P0023,网络设备-演示产品-23,网络设备,1336.83,1095,true
P0024,存储设备-演示产品-24,存储设备,133.54,180,true
P0025,软件订阅-演示产品-25,软件订阅,266.10,730,true
P0026,智能家居-演示产品-26,智能家居,366.66,1095,true
P0027,办公设备-演示产品-27,办公设备,488.48,730,true
P0028,网络设备-演示产品-28,网络设备,598.14,365,true
P0029,存储设备-演示产品-29,存储设备,703.99,730,true
P0030,软件订阅-演示产品-30,软件订阅,794.06,730,true
P0031,智能家居-演示产品-31,智能家居,874.24,180,true
P0032,办公设备-演示产品-32,办公设备,1037.48,180,true
P0033,网络设备-演示产品-33,网络设备,1167.43,180,true
P0034,存储设备-演示产品-34,存储设备,1291.40,730,true
P0035,软件订阅-演示产品-35,软件订阅,1339.16,180,true
P0036,智能家居-演示产品-36,智能家居,101.46,180,true
P0037,办公设备-演示产品-37,办公设备,265.67,1095,true
P0038,网络设备-演示产品-38,网络设备,362.52,365,false
P0039,存储设备-演示产品-39,存储设备,474.61,365,true
P0040,软件订阅-演示产品-40,软件订阅,595.34,1095,true
P0041,智能家居-演示产品-41,智能家居,672.66,730,true
P0042,办公设备-演示产品-42,办公设备,785.40,1095,true
P0043,网络设备-演示产品-43,网络设备,928.06,365,true
P0044,存储设备-演示产品-44,存储设备,987.16,730,true
P0045,软件订阅-演示产品-45,软件订阅,1130.26,1095,true
P0046,智能家居-演示产品-46,智能家居,1240.65,365,true
P0047,办公设备-演示产品-47,办公设备,1350.45,1095,true
P0048,网络设备-演示产品-48,网络设备,99.71,1095,true
P0049,存储设备-演示产品-49,存储设备,231.91,180,true
P0050,软件订阅-演示产品-50,软件订阅,377.06,730,true
P0051,智能家居-演示产品-51,智能家居,451.37,180,true
P0052,办公设备-演示产品-52,办公设备,604.83,1095,true
P0053,网络设备-演示产品-53,网络设备,655.90,730,true
P0054,存储设备-演示产品-54,存储设备,769.72,365,true
P0055,软件订阅-演示产品-55,软件订阅,931.83,1095,true
P0056,智能家居-演示产品-56,智能家居,1060.69,180,true
P0057,办公设备-演示产品-57,办公设备,1179.24,1095,false
P0058,网络设备-演示产品-58,网络设备,1293.33,365,true
P0059,存储设备-演示产品-59,存储设备,1368.20,730,true
P0060,软件订阅-演示产品-60,软件订阅,102.61,730,true
