refund_id,order_id,requested_ts,completed_ts,reason,status,amount
R000001,O0000003,2025-12-04T21:30:00,2025-12-07T07:30:00,物流破损,approved,62.43
R000002,O0000006,2026-01-31T15:59:00,,误购,pending,1873.39
R000003,O0000034,2026-06-25T19:27:00,2026-06-27T01:27:00,兼容性问题,approved,401.02
R000004,O0000036,2026-02-22T18:43:00,,物流破损,pending,576.32
R000005,O0000038,2025-09-29T05:03:00,2025-09-29T08:03:00,质量问题,approved,705.28
R000006,O0000068,2026-02-13T16:04:00,2026-02-17T12:04:00,误购,rejected,1843.23
R000007,O0000099,2026-07-10T13:06:00,2026-07-13T06:06:00,兼容性问题,approved,1157.19
R000008,O0000120,2026-06-23T18:19:00,2026-06-25T23:19:00,误购,approved,1683.11
R000009,O0000133,2025-09-12T20:16:00,,与描述不符,pending,1514.96
R000010,O0000136,2026-01-23T02:41:00,2026-01-24T14:41:00,物流破损,approved,129.21
R000011,O0000159,2026-07-22T03:08:00,2026-07-24T18:08:00,与描述不符,approved,1451.07
R000012,O0000173,2026-08-02T09:37:00,2026-08-04T04:37:00,与描述不符,approved,1189.30
R000013,O0000192,2025-11-28T15:14:00,2025-12-01T09:14:00,物流破损,approved,2742.46
R000014,O0000199,2025-09-08T13:36:00,2025-09-09T00:36:00,兼容性问题,approved,405.36
R000015,O0000205,2026-04-21T18:01:00,2026-04-25T13:01:00,质量问题,approved,1295.76
R000016,O0000206,2026-03-31T19:38:00,,质量问题,pending,4768.67
R000017,O0000221,2025-08-20T08:04:00,,质量问题,pending,103.28
R000018,O0000222,2025-11-08T22:28:00,2025-11-11T19:28:00,质量问题,approved,606.19
R000019,O0000225,2026-07-19T10:10:00,2026-07-21T13:10:00,质量问题,approved,1046.38
R000020,O0000234,2025-11-08T00:25:00,,质量问题,pending,1871.54
R000021,O0000235,2025-09-16T22:31:00,2025-09-19T08:31:00,物流破损,rejected,432.31
R000022,O0000243,2026-01-30T23:23:00,2026-02-03T17:23:00,物流破损,rejected,308.06
R000023,O0000246,2026-05-12T23:43:00,2026-05-15T15:43:00,兼容性问题,rejected,2184.85
R000024,O0000267,2025-09-27T19:57:00,2025-10-01T12:57:00,误购,approved,465.29
R000025,O0000271,2026-07-28T05:56:00,2026-07-29T12:56:00,质量问题,approved,271.84
R000026,O0000290,2026-02-12T09:14:00,2026-02-14T02:14:00,物流破损,rejected,2400.13
R000027,O0000292,2026-08-03T05:37:00,,与描述不符,pending,3415.81
R000028,O0000298,2026-07-21T01:57:00,2026-07-21T06:57:00,与描述不符,rejected,1775.95
R000029,O0000315,2026-02-13T21:27:00,2026-02-15T00:27:00,与描述不符,approved,741.87
R000030,O0000319,2026-07-18T15:46:00,2026-07-21T23:46:00,物流破损,approved,187.01
R000031,O0000357,2025-08-05T01:14:00,2025-08-07T13:14:00,兼容性问题,approved,518.48
R000032,O0000368,2026-07-22T05:56:00,2026-07-22T09:56:00,质量问题,rejected,1926.08
R000033,O0000369,2026-05-24T01:00:00,2026-05-27T16:00:00,与描述不符,approved,370.09
R000034,O0000375,2025-09-23T06:10:00,,误购,pending,1953.61
R000035,O0000405,2025-08-15T01:56:00,2025-08-17T15:56:00,质量问题,approved,341.27
R000036,O0000422,2026-06-21T22:21:00,2026-06-23T09:21:00,物流破损,rejected,2934.86
R000037,O0000452,2025-08-25T18:15:00,2025-08-28T03:15:00,物流破损,approved,2878.71
R000038,O0000457,2026-06-17T14:35:00,,质量问题,pending,431.00
