query_id,instance_id,observed_ts,query_fingerprint,duration_ms,rows_examined,rows_returned,query_type,wait_event
Q0000001,DB011,2026-08-03T22:55:00,UPDATE inventory SET reserved = reserved + ? WHERE sku = ?,4029.04,29597639,26635,SELECT,None
Q0000002,DB003,2026-08-06T04:58:00,SELECT orders JOIN order_items WHERE created_at BETWEEN ? AND ?,2295.66,21954116,32573,DELETE,Lock
Q0000003,DB008,2026-08-02T03:39:00,SELECT orders JOIN order_items WHERE created_at BETWEEN ? AND ?,1994.29,18802233,44613,DELETE,Network
Q0000004,DB003,2026-08-07T00:49:00,SELECT orders JOIN order_items WHERE created_at BETWEEN ? AND ?,7386.57,3788622,26326,SELECT,None
Q0000005,DB011,2026-08-02T01:51:00,DELETE session_events WHERE expires_at < ?,2273.37,20650707,8525,DELETE,IO
Q0000006,DB001,2026-08-06T16:30:00,DELETE session_events WHERE expires_at < ?,3323.01,25150590,42700,SELECT,CPU
Q0000007,DB006,2026-08-04T18:29:00,UPDATE inventory SET reserved = reserved + ? WHERE sku = ?,2227.44,20862640,3680,UPDATE,IO
Q0000008,DB005,2026-08-05T03:16:00,"SELECT metrics GROUP BY instance_id, time_bucket(?)",6966.71,24813219,36837,SELECT,Network
Q0000009,DB006,2026-08-01T15:32:00,SELECT customer_profile WHERE customer_id = ?,3376.00,12503081,48412,SELECT,Network
Q0000010,DB005,2026-08-03T03:38:00,SELECT orders JOIN order_items WHERE created_at BETWEEN ? AND ?,4871.96,5390131,13264,SELECT,CPU
Q0000011,DB008,2026-08-01T23:38:00,SELECT customer_profile WHERE customer_id = ?,6422.63,13929152,48712,SELECT,Network
Q0000012,DB007,2026-08-05T19:53:00,DELETE session_events WHERE expires_at < ?,7705.09,16515826,29619,SELECT,CPU
Q0000013,DB003,2026-08-05T09:42:00,SELECT customer_profile WHERE customer_id = ?,2541.45,18283583,10246,UPDATE,Lock
Q0000014,DB003,2026-08-06T08:07:00,"SELECT metrics GROUP BY instance_id, time_bucket(?)",1689.47,25727615,49504,SELECT,CPU
Q0000015,DB002,2026-08-06T23:02:00,SELECT customer_profile WHERE customer_id = ?,4548.03,7706205,43328,DELETE,None
Q0000016,DB011,2026-08-06T07:00:00,DELETE session_events WHERE expires_at < ?,5227.02,208723,20040,UPDATE,None
Q0000017,DB008,2026-08-05T15:00:00,"SELECT metrics GROUP BY instance_id, time_bucket(?)",6602.33,23801854,48228,SELECT,Lock
Q0000018,DB012,2026-08-01T06:32:00,SELECT orders JOIN order_items WHERE created_at BETWEEN ? AND ?,3738.77,13197803,40529,SELECT,CPU
Q0000019,DB002,2026-08-06T08:47:00,SELECT customer_profile WHERE customer_id = ?,4734.01,19495253,40448,SELECT,IO
Q0000020,DB011,2026-08-02T12:59:00,"SELECT metrics GROUP BY instance_id, time_bucket(?)",6650.68,10737786,11832,UPDATE,Lock
Q0000021,DB002,2026-08-07T08:40:00,"SELECT metrics GROUP BY instance_id, time_bucket(?)",4198.74,3702013,12207,SELECT,CPU
Q0000022,DB008,2026-08-05T14:26:00,UPDATE inventory SET reserved = reserved + ? WHERE sku = ?,1562.97,26545473,42806,UPDATE,Lock
Q0000023,DB001,2026-08-02T21:14:00,SELECT orders JOIN order_items WHERE created_at BETWEEN ? AND ?,4455.44,28975132,32304,SELECT,IO
Q0000024,DB003,2026-08-02T17:23:00,SELECT customer_profile WHERE customer_id = ?,7581.19,26167189,25569,SELECT,CPU
Q0000025,DB005,2026-08-01T14:38:00,"SELECT metrics GROUP BY instance_id, time_bucket(?)",5702.68,3179443,5686,SELECT,IO
Q0000026,DB002,2026-08-02T18:42:00,SELECT orders JOIN order_items WHERE created_at BETWEEN ? AND ?,5101.79,23602860,42310,SELECT,IO
Q0000027,DB008,2026-08-06T06:22:00,DELETE session_events WHERE expires_at < ?,4080.54,3734181,8057,SELECT,None
Q0000028,DB012,2026-08-04T00:19:00,UPDATE inventory SET reserved = reserved + ? WHERE sku = ?,4370.14,23547164,32292,DELETE,Lock
Q0000029,DB009,2026-08-01T09:36:00,DELETE session_events WHERE expires_at < ?,5962.44,27153610,43303,SELECT,Network
Q0000030,DB008,2026-08-06T14:20:00,DELETE session_events WHERE expires_at < ?,900.98,9129377,5298,SELECT,None
Q0000031,DB002,2026-08-04T10:08:00,SELECT orders JOIN order_items WHERE created_at BETWEEN ? AND ?,1423.66,15115156,49432,DELETE,Lock
Q0000032,DB012,2026-08-04T02:27:00,UPDATE inventory SET reserved = reserved + ? WHERE sku = ?,599.23,2351556,37936,UPDATE,CPU
Q0000033,DB011,2026-08-04T02:23:00,DELETE session_events WHERE expires_at < ?,1693.58,13375427,13079,DELETE,CPU
Q0000034,DB002,2026-08-01T22:12:00,DELETE session_events WHERE expires_at < ?,2078.50,16299878,34256,SELECT,IO
Q0000035,DB007,2026-08-06T15:47:00,"SELECT metrics GROUP BY instance_id, time_bucket(?)",2095.22,17258707,24401,SELECT,None
Q0000036,DB006,2026-08-05T23:50:00,SELECT orders JOIN order_items WHERE created_at BETWEEN ? AND ?,6151.66,28514192,38293,DELETE,None
Q0000037,DB010,2026-08-06T19:54:00,"SELECT metrics GROUP BY instance_id, time_bucket(?)",5452.47,625717,34684,SELECT,Lock
Q0000038,DB005,2026-08-06T05:42:00,"SELECT metrics GROUP BY instance_id, time_bucket(?)",7099.29,15169008,9322,DELETE,Network
Q0000039,DB008,2026-08-04T08:28:00,DELETE session_events WHERE expires_at < ?,2666.91,3032052,37226,DELETE,IO
Q0000040,DB012,2026-08-03T05:53:00,DELETE session_events WHERE expires_at < ?,454.77,29300737,45515,SELECT,Lock
Q0000041,DB008,2026-08-02T07:23:00,DELETE session_events WHERE expires_at < ?,1281.90,7588283,965,UPDATE,Lock
Q0000042,DB009,2026-08-07T08:12:00,SELECT customer_profile WHERE customer_id = ?,6803.98,26683392,43020,SELECT,None
Q0000043,DB006,2026-08-05T11:45:00,UPDATE inventory SET reserved = reserved + ? WHERE sku = ?,4870.25,3256036,22126,SELECT,None
Q0000044,DB010,2026-08-06T00:20:00,SELECT orders JOIN order_items WHERE created_at BETWEEN ? AND ?,708.66,29845198,20223,SELECT,IO
Q0000045,DB008,2026-08-06T13:34:00,SELECT orders JOIN order_items WHERE created_at BETWEEN ? AND ?,6003.66,7954108,37751,SELECT,CPU
Q0000046,DB002,2026-08-03T21:11:00,"SELECT metrics GROUP BY instance_id, time_bucket(?)",569.42,17734087,30217,SELECT,CPU
Q0000047,DB008,2026-08-06T08:19:00,UPDATE inventory SET reserved = reserved + ? WHERE sku = ?,1239.45,25827538,42867,UPDATE,CPU
Q0000048,DB003,2026-08-06T14:23:00,DELETE session_events WHERE expires_at < ?,3068.39,21584401,38093,SELECT,None
Q0000049,DB010,2026-08-02T08:12:00,SELECT customer_profile WHERE customer_id = ?,6817.77,4457144,34240,SELECT,Lock
Q0000050,DB002,2026-08-05T21:23:00,"SELECT metrics GROUP BY instance_id, time_bucket(?)",6467.91,1167397,9631,UPDATE,CPU
Q0000051,DB009,2026-08-03T01:47:00,SELECT customer_profile WHERE customer_id = ?,6325.03,29755640,39810,SELECT,Network
Q0000052,DB004,2026-08-02T00:06:00,UPDATE inventory SET reserved = reserved + ? WHERE sku = ?,3011.40,17265390,10989,UPDATE,Network
Q0000053,DB004,2026-08-01T04:27:00,SELECT customer_profile WHERE customer_id = ?,556.96,23417633,20472,UPDATE,Lock
Q0000054,DB002,2026-08-03T19:16:00,"SELECT metrics GROUP BY instance_id, time_bucket(?)",7288.82,22451102,47532,DELETE,None
Q0000055,DB003,2026-08-04T13:55:00,SELECT customer_profile WHERE customer_id = ?,5703.55,29347946,13067,DELETE,CPU
Q0000056,DB006,2026-08-03T03:04:00,SELECT customer_profile WHERE customer_id = ?,2422.77,23993722,45891,SELECT,Network
Q0000057,DB009,2026-08-02T14:02:00,"SELECT metrics GROUP BY instance_id, time_bucket(?)",7790.51,6426460,34318,UPDATE,Lock
